Account,Balance
0xfd5cf3a11baf13f2cdb5b1de5cc77f5fc122820c,118.655148
0xa5d40a9a0041f07e98cc1c2ad8bc4e6a82c7d792,117.119167
0xd89cfcadf025eb225a9f1d2dc66d1606c3a45c8e,117.018460
0x94a14774ffa8ac3122d2a57c2cc5886dd6288923,117.006010
0x75e483cca6dfe6f565f8fa3c906d5629d020da7e,115.164257
0x1bb05ac6f7807928d7f5eb436f9b3ea3b4899886,112.660764
0x9e56a68b3d4f16ba51c032854384f6bede2caf27,112.134157
0x0d671a87f4c48d3ff0e163ab9f15f7e8d4a884d6,112.126984
0x951cfd0a66da958b0e885777d8f325a13cd19447,111.503017
0xae0605a57a49da862e6b16c7e32be593d80b1143,110.978066
0xa502a8b49847939dc51668dc9cb334597b129875,110.290009
0x57172473703bee03386812099eee918d0d940dfd,109.310172
0x4b0467d56006ec02214d11523f31310739ca1232,109.302557
0x9db4571664fc6b04054a702a435d01e6a95178c2,109.080175
0x9678ee8158cc60107410e55e16c273e7a4a2da16,109.079504
0x2f293a6ab7b28722650f604d20ce9925fa827c31,109.078849
0x9af1e407784385a6358bb19568c33b3a86899927,109.076534
0x312ae81f377cfc4d57fe3fc0c70b3c199f4ecfed,109.075818
0x8d158aa85d61045d4e0340929e0de447f238a764,109.073498
0xe3936b7e027595dea747304137b34b31d25751f9,109.072879
0x73c9661c1c50e3a2be865fa9b5eb03e8b1bc7f19,108.334793
0x77c9e49073d9830723195f3788570c2c36c97688,108.209552
0x07e144a87cec9afe09f17918746bcfb7462d8385,108.097558
0x356ce9d8496b30421df789496449f669b87d169d,108.093815
0x5f02d5ea09c98fe0394fded51f27981bb325b571,108.090534
0xf92e84c0eaee37765acf65df9705284d95ee4e0e,107.879836
0xcf0645d51702b17d7c1193ba62dadf0687378a0a,107.358643
0xc9fd90d23798eae0bac47e1e58cc7feffd6610b2,107.357223
0x71f92ceae826f500df0eac1b67148e37d1dbbab4,107.357021
0x3f227d1d77f8ef297374b449b5b35e6f6fd7faf3,107.259583
0x5a5b42b5370fd3fd032aefc9ff9a27fa13d6f502,107.252712
0xe96b1eb134aeef8c863202d28a2cc4ef13ddb728,107.215860
0xfdc3109579d251c71cec00119eb00d18e06f2664,106.480606
0x699fa25f4e207e810a1a5e53b83dafb270e68d88,106.139608
0xc887b3406424838ae65456860278a5e6e40fcb08,105.493863
0xdc799af186e653ce0c3c75a4fe05387eae8e6bfc,105.373932
0xefa114048218757b8efa3bdbf9d7786c87f6ffaf,105.025332
0x1bdd586228229ae76ca84ee50f02a433a1ebee79,103.907050
0xa7e25b6862b58f0364bef775bc17755f9a80da7e,103.463555
0xf74709b52c0e108ecfe56fa364175a779d3c059a,103.293907
0x391117f116c15ea7edfeeec2a38c0596905433d4,103.164504
0xdc7c8ff516fb4c77ca9e5f0f49c12bd8a05e8d65,102.877947
0x5d5cf36fb836239f5d9b222dc10839536f12dee0,102.478704
0x42492200015c883f24cf5e631208d1081d128666,102.475236
0xc0b09b78c00ebced69ed1b397f5fb6ad94938441,102.412729
0xb7388e4f58b555ab65fe7ace315f54b649482743,102.261281
