Account,Balance
0xb6364c177d6ca7e39eaa2686e558d63e5e394692,194.813792902734000000000000
0xcaa46c33c03d6cef7e7c3e3c80952c885a4f1770,194.632285291555000000000000
0x6857e80312f49ab7223116a778be598b87657b49,161.542079980037000000000000
0xdde37132039e11c3c19fcb41d7b2fdcfed94f150,150.126098708049000000000000
0x27c91989e652e845d7bb6f6a5c1429a254fc803c,147.992423701682000000000000
0xcb6d75a6ce8daa3618aa04988fd75dd843aec4d8,146.142108163523000000000000
0xdb5701ab0bd152adc9fe3847c58f76ef1ba8a67e,138.348429954942000000000000
0x2ee9385bb09fc7e2f6059dd70690735fe4fa9eb6,128.605590821183000000000000
0x32791bbc7ddc9d0e6bd914f3b7f73747132a3a5b,120.929741864824000000000000
0xaea89b3c2b49491686bbe94976d67409eb676c7b,120.810935026762000000000000
0x2e9fdf78216a7939b33ba4f2f687193393e13133,109.621056544504000000000000
0x33259ed1f5e3cd4d740709eec9a55fbd641288a8,108.036498361913000000000000
0xcb12102493e513ed5e32fbc36864569bad2812bd,107.171335657258000000000000
0x996e6af94971e9ab4f97a1b30d2b766b40122354,103.139598257393000000000000
0x7e2cc0338567d31625c6e353a5ca4aad4ac0c778,101.534565434337000000000000
0xda39dacb749c6a936af9cb2a7bd814bfbc8e524e,100.683611610327000000000000
0xdc4d180beb33ef09432b6e5855100e2168b7df51,99.752868489617700000000000
0x31e19cac09f0fc35138514aaeaecf07f48da30af,99.741373543157400000000000
0x5d31d7cd8e50daa3f9ac315b0278bf6aff662bd9,99.648868975677200000000000
0x28d86820e48b438e01e53e538a1f6d2f235147de,99.352503729499700000000000
0x0000000000000000000000000000000000000000,99.000000000000000000000000
0x05b2527d0d3893bedd3f45edb6554e873213dda3,98.868746653136500000000000
0xf711463430b8bcf2118e99e5348118846e783d60,98.766640998314100000000000
0x16562e41112bf3f574a82cf17ad04ef3afdcd1de,98.392128001506700000000000
0x56e4bca78afe66a12567361a773cfa28b3fc93a3,98.388902221866700000000000
0xe2623474afb8980ed4b3f76be47ded1dcbf809c0,98.378463069097300000000000
0xcd3ffa17c3a9029718aedb24c6579b0a97915cba,97.784704501394100000000000
0x399540044cd5fd63bbc6cbec55a14232f65b457b,97.499798074209300000000000
0x47280b2dd6b9fcdb696c23e0292fa59d976002d1,97.444646870733500000000000
0xf07e860a4f03f2df6a62b899f3ec7b5a45b678ad,97.434280913593400000000000
0x6aa954d5748a95f516933c95661815845869c663,97.428173408678700000000000
0x229e91aef07cd4b8b3142a35366b275e3e457064,97.419537119331700000000000
0x66ad6ca79ae559d768451c802e74e89390e8570c,97.406617519762900000000000
0x584c08a5e6dfbb71346e3cda140e133c2890fd7a,97.406108357607900000000000
